全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
170003,AA0000000011,石川県,石川四高記念文化交流館,イシカワシコウキネンブンカコウリュウカン,"The fourth high school memorial museum of cultural exchange,Ishikawa",,0803,,,172014,,石川県金沢市広坂2丁目2-5,石川県,金沢市,広坂2丁目,2-5,,36.56268,136.6558,,,(076)262-5464,,,,,,2000020170003,石川県,月火水木金土日,9:00,21:00,年末年始・展示替期間は利用不可,旧制四高に関する展示と石川近代文学館による展示および多目的利用室の貸出,可,有,無,有,有,無,無,有,無,有,無,無,無,無,否,無,有,https://www.pref.ishikawa.jp/shiko-kinbun/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000012,石川県,石川県政記念しいのき迎賓館,イシカワケンセイキネンシイノキゲイヒンカン,"Shiinoki cultural complex,Ishikawa prefecture",,0610,,,172014,,石川県金沢市広坂2丁目1-1,石川県,金沢市,広坂2丁目,1-1,,36.56262,136.65781,,,(076)261-1111,,,,,,9030001134091,KCSコンソーシアム,月火水木金土日,9:00,22:00,12/29から1/3は利用不可,兼六園周辺の総合案内やギャラリー、レストラン、会議室等あり,可,有,無,有,有,有,有,有,無,有,有,有,有,有,可,有,有,https://www.shiinoki-geihinkan.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000013,石川県,石川県立音楽堂,イシカワケンリツオンガクドウ,Ishikawa Prefectural Music Hall,,1016,,,172014,,金沢市昭和町20-1,石川県,金沢市,昭和町,20-1,,36.57687,136.64743,,,(076)232-8111,,,,,,9220005000163,公益財団法人石川県音楽文化振興事業団,月火水木金土日,9:00,22:00,休館日：12月29日?1月3日、他に1カ月に1回程度月曜日,クラシックホール、邦楽ホールと多目的ホールの3つの舞台を擁する施設,可,有,無,有,有,有,有,有,有,有,有,有,有,有,可,無,有,https://ongakudo.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000014,石川県,卯辰山相撲場,ウタツヤマスモウジョウ,Utatsuyamasumojyou,,1118,,,172014,,石川県金沢市末広町,石川県,金沢市,末広町,,,36.56871,136.68313,,,(076)251-5721,,,,,,9220005000196,石川県スポーツ協会グループ,月火水木金土日,8:00,21:00,休館日 年末年始（12/29～1/3) 毎月７日の「健康の日」および「スポーツの日」は個人利用に限り無料,本土俵（一面）練習土俵（二面）,可,無,無,有,スロープ有、エレベータ無、エスカレータ無,有,有,有,有,無,有,無,無,無,可,無,有,http://www.ishikawa-spc.jp/budokan,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000015,石川県,武道館,ブドウカン,Budoukan,,1113,,,172014,,石川県金沢市小坂町西8番地3,石川県,金沢市,小坂町西,8番地3,,36.58987,136.67374,,,(076)251-5721,,,,,,9220005000196,石川県スポーツ協会グループ,月火水木金土日,8:00,21:00,休館日 年末年始(12/29～1/3)「スポーツの日」「いしかわ県民スポーツの日（４月第４日曜日）」「健康の日（毎月７日）」,柔道場、剣道場、弓道場、会議室、研修室、浴室、土俵、多目的室有り,可,有,無,無,スロープ有、エレベータ無、エスカレータ無,無,無,無,有,有,有,無,有,有,可,無,有,http://www.ishikawa-spc.jp/budokan,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000016,石川県,兼六園弓道場,ケンロクエンキュウドウジョウ,Kenrokuengardenkyudoujyou,,1120,,,172014,,石川県金沢市石引4-18-1(石川護国神社内),石川県,金沢市,石引,4-18-1,石川護国神社内,36.55908,136.66427,,,(076)251-5721,,,,,,9220005000196,石川県スポーツ協会グループ,月火水木金土日,8:00,21:00,休館日 年末年始(12/29～1/3)「スポーツの日」「いしかわ県民スポーツの日（４月第４日曜日）」「健康の日（毎月７日）」,弓道場,可,無,無,無,無,無,無,無,有,有,無,無,無,無,可,無,有,http://www.ishikawa-spc.jp/budokan,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000017,石川県,西部緑地公園テニスコート,セイブリョクチコウエンテニスコート,Seiburyokuchikouentenniscourt,,1116,,,172014,,石川県金沢市北塚町東196-1,石川県,金沢市,北塚町東,196-1,,36.57078,136.60021,,,(076)249-0999,,,,,,2010001016827,三幸株式会社,月火水木金土日,4/1～10/31  6:00   11/1～3/31 8:30,日没まで,,,可,有,無,有,無,無,無,無,無,無,有,無,無,無,否,無,無,https://www.tennisishikawa.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000018,石川県,いしかわ総合スポーツセンター,イシカワソウゴウスポーツセンター,Ishikawasportscenter,スポセン,1106,,,172014,,石川県金沢市稚日野町北222番地,石川県,金沢市,稚日野町北,222,,36.5795,136.59831,,,(076)268-2222,,,,,,9220005000196,石川県スポーツ協会グループ,月火水木金土日,9:00,22:00,休館日 （12/29～1/3）毎月７日の「健康の日」・「スポーツの日」・「いしかわ県民スポーツの日」は個人利用に限り無料 心身障害者の個人利用は無料,アリーナ、マルチパーパスルーム、トレーニングルーム、プール有り,可,有,無,有,有,有,無,有,無,有,有,有,有,有,可,無,有,http://ishikawa-spc.jp,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000019,石川県,サッカー・ラグビー競技場,サッカー・ラグビーキョウギジョウ,soccer・rugbystadium,,1104,,,172111,,石川県能美市山口町ト103,石川県,能美市,山口町ト,103,,36.43278,136.4326,,,(0761)21-5354,,,,,,6000020172111,能美市,月火水木金土日,8:30,日没まで,休館日 年末年始（12/29～1/3) 毎月７日の「健康の日」および「体育の日」は個人利用に限り無料,,否,無,無,無,無,無,無,無,無,無,有,無,無,無,可,無,無,https://www.pref.ishikawa.lg.jp/shisetsu/02/0310.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000020,石川県,野球場,ヤキュウジョウ,baseballPark,,1103,,,172014,,石川県金沢市北塚町東220,石川県,金沢市,北塚町東,220,,36.57467,136.60059,,,(076)268-4264,,,,,,5220005000175,一般財団法人石川県県民ふれあい公社,月火水木金土日,6:00,21:00,休館日 年末年始（12/29～1/3),,可,有,無,有,無,無,無,有,無,無,無,有,無,無,可,無,有,https://ishikawa-odekake.jp/westpark/facilities/ballpark/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000021,石川県,自転車競技場,ジテンシャキョウギジョウ,Bicyclestadium,,1199,,,173657,,石川県河北郡内灘町宮坂に460,石川県,河北郡内灘町,宮坂に,460,,36.66425,136.65113,,,(076)286-1533,,,,,,4220005006883,一般財団法人内灘町公共施設管理公社,月火水木金土日,8:30,18:30,休日 第１火曜日（祝日の場合は翌週）、年末年始,,否,無,無,無,無,無,無,無,無,無,無,無,無,無,否,無,無,https://nadasta.com/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000022,石川県,西部緑地公園陸上競技場,セイブリョクチコウエンリクジョウキョウギジョウ,Seiburyokuchikouentrack and field,,1102,,,172014,,石川県金沢市袋畠町南136,石川県,金沢市,袋畠町南,136,,36.57601,136.60526,,,(076)267-2411,,,,,,5220005000175,一般財団法人石川県県民ふれあい公社,月火水木金土日,8:30,月・水・金 19:00 火・木・土・日 17:00,休館日 年末年始（12/29～1/3) 月・水・金 受付～18:00迄 火・木・土・日 受付～17:00迄,競技大会等の貸切利用をしていない時間は個人利用可能 体力作りでも利用可能,可,有,無,有,有,無,無,有,無,無,無,無,無,無,可,無,有,https://ishikawa-odekake.jp/westpark/facilities/athletics/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000023,石川県,滝港マリーナ,タキコウマリーナ,Takiko Marina,,1145,,,172073,,石川県羽咋市滝町レ部101,石川県,羽咋市,滝町レ部,101,,36.92235962,136.7571213,,,(0767)22-9099,,,,,,1220002015254,有限会社プロジェクトドゥ,月水木金土日,9:00,17:00,・火曜日が祝日の場合は営業（その場合、翌日が休業日となる）・12月29日～1月3日は終日利用不可・6月～9月の土日及び祝日は8時～18時営業,・使用にあたっては、事前に申請が必要。,可,無,無,無,有,無,無,有,無,無,有,無,無,無,否,無,無,http://www.hakui.ne.jp/marina/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000024,石川県,兼六園,ケンロクエン,Kenrokuen Garden,,1003,,,172014,,石川県金沢市兼六町1番4号,石川県,金沢市,兼六町,1-4,,36.56227427,136.6628661,,,(076)234-3800,,,,,,2000020170003,石川県,月火水木金土日,7:00,18:00,10/16～2/末は、8時～17時。,日本三名園の一つであり、江戸時代の代表的な林泉廻遊式大名庭園の特徴を残す庭園,可,有,無,有,有,無,有,有,無,有,有,有,無,有,否,無,有,https://www.pref.ishikawa.jp/siro-niwa/kenrokuen/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,園内の飲食店で飲食可能
170003,AA0000000025,石川県,金沢城公園,カナザワジョウコウエン,Kanazawa Castle Park,,1003,,,172014,,石川県金沢市丸の内1番1号,石川県,金沢市,丸の内,1-1,,36.56712,136.65837,,,(076)234-3800,,,,,,2000020170003,石川県,月火水木金土日,7:00,18:00,10/16～2/末は、8時～17時。,金沢城の貴重な歴史的文化遺産を後世に継承する、兼六園と並ぶ県都金沢のシンボル公園,可,有,無,有,有,無,有,有,有,有,有,有,有,有,否,無,有,https://www.pref.ishikawa.jp/siro-niwa/kanazawajou/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,園内の飲食店や指定場所で飲食可能
170003,AA0000000026,石川県,鞍月セントラルパーク,クラツキセントラルパーク,Kuratsuki Central Park,,1003,,,172014,,石川県金沢市鞍月1丁目,石川県,金沢市,鞍月1丁目,,,36.59251,136.62479,,,(076)225-1771,,,,,,2000020170003,石川県,月火水木金土日,0:00,23:59,,金沢西部副都心の「緑の拠点」として、県庁移転に伴い平成15年に開設された公園,可,無,無,有,無,有,有,有,無,無,無,無,無,有,可,無,有,https://www.pref.ishikawa.lg.jp/kouen/map/park/kuratuki/index.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000027,石川県,いしかわ四高記念公園,イシカワシコウキネンコウエン,"The fourth High School Memorial Park, Ishikawa",,1003,,,172014,,石川県金沢市広坂2丁目,石川県,金沢市,広坂,,,36.56323,136.65572,,,(076)231-6859,,,,,,-,植宗・吉村グループ,月火水木金土日,0:00,23:59,,旧制第四高等学校の跡地に整備され、周辺の文化施設や緑地と一体となった四季を通じて賑わいを見せる公園,可,無,無,有,有,有,有,有,無,無,無,無,無,有,可,無,有,https://shikoukinenkouen-sakura.com/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000028,石川県,本多の森公園,ホンダノモリコウエン,Hondanomori Park,,1003,,,172014,,石川県金沢市出羽町,石川県,金沢市,出羽町,,,36.55924,136.66205,,,(076)231-6859,,,,,,-,植宗・吉村グループ,月火水木金土日,0:00,23:59,,藩政期からの豊かな緑でおおわれ、国立工芸館をはじめとする文化施設が多く設置されている公園,可,無,無,有,有,有,有,有,無,無,有,無,無,有,可,無,有,https://shikoukinenkouen-sakura.com/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000029,石川県,健民海浜公園,ケンミンカイヒンコウエン,,健民プール,1003,,,172014,,石川県金沢市普正寺町11字1番1,石川県,金沢市,普正寺町11字,1-1,,36.59353,136.5829,,,(076)267-2266,,,,,,-,T＆A有限責任事業組合,月火水木金土日,0:00,23:59,プールの営業時間は9時～17時（7、8月のみ）,９種類の多様なプールと自然豊かな海岸林で野鳥や植物の自然観察等が楽しめる県政百周年事業として整備された公園,可,無,無,有,無,有,無,有,無,無,有,有,無,有,可,無,有,http://www.kenminkouen.com/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000030,石川県,奥卯辰山健民公園,オクウタツヤマケンミンコウエン,Oku Utatsuyama Kenmin Park,,1003,,,172014,,石川県金沢市若松町エ85,石川県,金沢市,若松町エ,85,,36.56021,136.69776,,,(076)264-0395,,,,,,4220001013165,株式会社岸グリーンサービス,月火水木金土日,0:00,23:59,,金沢市街地を一望することができる、旧ゴルフ場の芝生を活かした広大な広場が特徴的な公園,可,有,無,有,無,無,有,有,無,有,有,有,有,有,可,無,有,https://kgs-okuutatsu.com,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000031,石川県,犀川緑地,サイガワリョクチ,,,1003,,,172014,,石川県金沢市法島町24番999号,石川県,金沢市,法島町,24-999,,36.54309,136.66927,,,(076)243-8564,,,,,,2220001004397,エコ・チーム犀川,月火水木金土日,0:00,23:59,,金沢の街にとけ込む犀川の河川敷内を緑化し、散策やレクリエーションの場として親しまれている公園,可,無,無,有,有,無,無,有,無,無,有,有,無,有,可,無,有,https://ecoteamsai.sakura.ne.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000032,石川県,粟津公園,アワヅコウエン,Awazu Park,,1003,,,172031,,石川県小松市符津町念仏ケ3-1,石川県,小松市,符津町念仏ケ,3-1,,36.35513,136.42045,,,(0761)44-2280,,,,,,7000012050002,駒谷造園株式会社,月火水木金土日,0:00,23:59,,悪天候でもテニス等ができる屋根付き広場を有する等、子供から大人まで、いろいろなスポーツや遊びが楽しめる公園,可,無,無,有,無,有,無,有,無,有,有,有,無,有,可,無,有,https://www3.hp-ez.com/hp/awadukouen-komaya/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000033,石川県,北部公園,ホクブコウエン,Hokubu Park,,1003,,,172014,,石川県金沢市北森本町チ35-1,石川県,金沢市,北森本町チ,35-1,,36.62688575,136.6934933,,,(076)257-2073,,,,,,4220001013165,株式会社岸グリーンサービス,月火水木金土日,0:00,23:59,,東西を流れる森下川を挟み、各種大会などに利用されるスポーツレクリエーションゾーンと緑豊かな休憩ゾーンを有する公園,可,有,無,有,有,無,無,有,無,無,有,無,無,有,可,無,有,https://kgs-hokubupark.com/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000034,石川県,白山ろくテーマパーク,ハクサンロクテーマパーク,Hakusanroku theme park,,1003,,,172103,,石川県白山市河内町吉岡西89,石川県,白山市,河内町吉岡西,89,,36.3807901,136.6130522,,,(076)272-3637,,,,,,4220001013165,株式会社岸グリーンサービス,月火水木金土日,0:00,23:59,,豊かな自然資源と歴史・文化資源に恵まれた白山麓の地域資源を保全し、地域の活性化に資する公園,可,有,無,有,有,無,無,有,無,無,有,有,有,有,可,無,有,https://hakusanpark.com/,,,
170003,AA0000000035,石川県,西部緑地公園,セイブリョクチコウエン,,,1003,,,172014,,石川県金沢市袋畠町南193番地,石川県,金沢市,袋畠町南,193,,36.5765,136.6026,,,(076)268-6685,,,,,,5220005000175,一般財団法人石川県県民ふれあい公社,月火水木金土日,0:00,23:59,,県を代表する各種のスポーツ施設と大型の産業展示館が整備され、年間を通じてスポーツや各種産業の展示などの催物が開催される公園,可,無,無,有,有,無,無,有,無,無,有,無,無,有,可,無,有,https://ishikawa-odekake.jp/westpark/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000036,石川県,手取公園,テドリコウエン,Tedori Park,,1003,,,172103,,石川県白山市平賀町ワ3-3-1,石川県,白山市,平賀町ワ,3-3-1,,36.49728705,136.4939039,,,(076)278-6250,,,,,,6000020172103,白山市,月火水木金土日,0:00,23:59,ウォーターガーデン（プール）の営業時間は9時～16時30分（7、8月のみ）,手取川と美川海岸の優れた自然景観を利用し、スポーツ・レクリエーションを中心とした各種の施設が設けられた公園,可,無,無,有,有,無,無,有,無,無,有,有,無,有,可,無,有,https://www.city.hakusan.lg.jp/shisetsu/park/1004497.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000037,石川県,松任海浜公園,マットウカイヒンコウエン,,,1003,,,172103,,石川県白山市相川町2557番地,石川県,白山市,相川町,2557,,36.5406018,136.5347259,,,(076)274-0639,,,,,,6000020172103,白山市,月火水木金土日,0:00,23:59,,誰もが気軽に海辺や自然と親しめる海浜レクリエーション空間として北陸自動車道徳光ＰＡからも利用可能な公園,可,無,無,有,有,無,無,有,無,無,有,有,無,有,可,無,有,https://www.city.hakusan.lg.jp/shisetsu/park/1004534.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000038,石川県,大野湊緑地公園,オオノミナトリョクチコウエン,,,1003,,,172014,,石川県金沢市金石本町ロ55番地,石川県,金沢市,金石本町ロ,55,,36.35469,136.597472,,,(076)267-7744,,,,,,4220005004524,公益財団法人銭五顕彰会,月火水木金土日,0:00,23:59,,隣接する大野湊神社の社叢林の景観を保全し、園内に加賀百万石の経済を支えた海の豪商である銭屋五兵衛の記念館が設置された公園,可,有,無,有,無,有,無,有,無,有,有,無,有,有,可,無,有,https://www.zenigo.jp/area/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000039,石川県,能登歴史公園(石動山地区),ノトレキシコウエンセキドウザンチク,Noto Rekishi Park （Sekidouzan),,1003,,,174076,,石川県鹿島郡中能登町石動山ラ部1番地2,石川県,鹿島郡中能登町,石動山ラ部,1-2,,36.9620,136.97462,,,(0767)52-5100,,,,,,4000020174076,中能登町,月火水木金土日,0:00,23:59,,石動山の優れた自然環境と文化財の保護を重視しながら、自然と文化財にふれあえる体験学習や憩いの場となる公園,可,有,有,有,無,無,無,有,無,無,有,有,無,無,可,無,有,https://www.town.nakanoto.ishikawa.jp/tourist_navi/kanko_spot/3433.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000040,石川県,能登歴史公園(国分寺地区),ノトレキシコウエンコクブンジチク,Noto Rekishi Park （Kokubunzi),,1003,,,172022,,石川県七尾市国分町イ部1番地,石川県,七尾市,国分町イ部,1,,37.0235,136.95453,,,(0767)74-2735,,,,,,4000020172022,七尾市,月火水木金土日,0:00,23:59,,七尾鹿島地域に散在する歴史的遺産を保全・活用した広域的な交流拠点、また多様なレクリエーションや防災の拠点となる公園,可,有,無,有,有,有,無,有,無,有,有,有,有,有,可,有,有,https://noto-museum.jp/%e3%80%90-%e8%83%bd%e7%99%bb%e6%ad%b4%e5%8f%b2%e5%85%ac%e5%9c%92%e3%81%ab%e3%81%a4%e3%81%84%e3%81%a6-%e3%80%91/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000041,石川県,木場潟公園,キバガタコウエン,Kibagata Park,,1003,,,172031,,石川県小松市三谷町ら之部58番地,石川県,小松市,三谷町ら之部,58,,36.3670,136.4511,,,(0761)43-3106,,,,,,2220005003420,公益財団法人木場潟公園協会,月火水木金土日,0:00,23:59,,県内で唯一自然のままの姿で残された潟の自然と優れた水郷景観を保全する公園,可,有,無,有,無,有,無,有,無,無,有,有,有,有,可,無,有,http://kibagata.com/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
