罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-04-03,21,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-04-24,00,道路上,その他,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-06-14,06,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-06-15,06,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-06-22,17,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-07-14,08,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-09-07,13,その他,その他,70歳以上,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-09-15,09,その他,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2021-03-05,08,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2021-03-14,22,４階建て以上共同住宅,その他,65-69歳,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2021-11-23,16,その他,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2021-07-07,23,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2021-08-20,12,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森２丁目,2021-07-24,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森６丁目,2021-06-21,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森６丁目,2021-12-10,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,東千葉１丁目,2021-04-23,16,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,東千葉２丁目,2021-09-25,07,４階建て以上共同住宅,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,東千葉３丁目,2021-03-02,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天３丁目,2020-12-12,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2021-10-18,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2021-01-20,18,４階建て以上共同住宅,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2021-07-23,21,その他の住宅（３階建て以下共同住宅等）,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2021-09-29,16,その他,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2021-11-06,17,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2021-12-15,18,４階建て以上共同住宅,その他,10歳代,小学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,稲荷町１丁目,2021-07-23,21,４階建て以上共同住宅,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,稲荷町１丁目,2021-09-29,07,一戸建住宅,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,稲荷町１丁目,2021-10-16,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,稲荷町２丁目,2021-08-11,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,稲荷町３丁目,2021-04-24,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2021-02-07,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2021-02-25,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2021-04-13,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広４丁目,2021-02-07,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広４丁目,2021-04-17,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広５丁目,2021-01-04,06,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広５丁目,2021-10-18,22,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広５丁目,2021-10-30,11,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2020-12-24,17,一戸建住宅,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2021-02-10,02,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2021-03-08,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2021-04-24,06,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2021-05-21,04,一戸建住宅,その他,10歳未満,小学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2021-05-23,17,一戸建住宅,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2021-06-03,05,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2021-06-30,16,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2021-09-15,00,その他の住宅（３階建て以下共同住宅等）,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2021-09-17,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2020-12-28,09,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2021-01-08,08,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2021-03-19,13,道路上,その他,10歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2021-03-31,19,その他,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2021-05-21,18,その他,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2021-07-07,17,道路上,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2021-07-13,18,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2021-09-07,12,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2021-10-10,22,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2021-11-03,19,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2021-12-04,18,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉２丁目,2021-01-20,08,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉２丁目,2021-04-23,19,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉２丁目,2021-07-24,16,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2020-12-30,18,道路上,その他,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2021-04-12,07,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2021-07-05,09,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2021-07-14,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2021-07-16,17,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2021-09-10,11,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2021-12-23,19,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2021-02-23,15,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2021-05-11,12,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2021-05-13,17,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2021-11-25,14,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2020-12-27,19,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-01-01,21,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-02-25,17,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-05-12,09,４階建て以上共同住宅,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-06-02,09,駐車（輪）場,駐車（輪）場,10歳未満,小学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-06-17,11,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-07-11,17,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-07-29,16,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-08-17,18,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-08-18,13,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-08-21,15,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-09-25,09,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-10-03,16,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-11-24,19,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2020-12-28,15,駐車（輪）場,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-02-03,17,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-02-05,08,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-02-21,07,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-02-24,15,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-02-26,07,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-03-04,19,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-03-24,11,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-04-07,07,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-05-21,18,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-05-22,15,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-07-14,20,その他,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-08-01,20,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-08-03,09,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-08-04,06,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-08-19,10,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-10-04,05,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-10-19,18,その他,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-10-30,15,道路上,その他,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2021-11-08,17,一戸建住宅,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-02-03,09,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-02-09,18,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-03-18,12,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-03-28,10,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-04-07,09,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-04-07,10,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-05-08,17,４階建て以上共同住宅,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-05-12,20,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-07-08,05,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-07-13,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-08-09,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2021-11-17,09,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,仁戸名町,2021-07-06,17,道路上,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,星久喜町,2021-02-23,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,星久喜町,2021-09-01,17,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,松ケ丘町,2021-02-17,10,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,亥鼻１丁目,2021-03-20,09,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,亥鼻１丁目,2021-04-19,14,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,亥鼻１丁目,2021-12-16,08,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,亥鼻１丁目,不明,不明,その他,その他,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,亥鼻２丁目,2021-04-24,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,亥鼻３丁目,2021-07-25,00,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,葛城１丁目,2021-11-20,13,一戸建住宅,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,葛城１丁目,2021-11-21,13,一戸建住宅,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,葛城２丁目,2021-04-15,15,一戸建住宅,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,葛城２丁目,2021-09-09,12,その他の住宅（３階建て以下共同住宅等）,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,葛城２丁目,2021-09-25,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
