,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係,住所,lat,lon
12,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,神明町,2022-03-21,14,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した,千葉市中央区神明町,35.601719,140.11618
13,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,神明町,2022-07-15,18,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区神明町,35.601719,140.11618
14,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,神明町,2022-07-22,21,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区神明町,35.601719,140.11618
15,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,神明町,2022-09-02,19,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した,千葉市中央区神明町,35.601719,140.11618
16,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,問屋町,2022-12-08,18,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区問屋町,35.601868,140.11113
17,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-12-30,17,その他,その他,20歳代,大学生,施錠した,千葉市中央区富士見２丁目,35.610279,140.118088
18,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-01-04,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した,千葉市中央区富士見２丁目,35.610279,140.118088
19,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-01-28,19,その他,その他,30歳代,その他,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
20,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-02-02,12,その他,駐車（輪）場,10歳代,大学生,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
21,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-03-09,19,道路上,その他,40歳代,その他,施錠した,千葉市中央区富士見２丁目,35.610279,140.118088
22,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-05-20,14,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
23,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-06-07,18,その他,その他,40歳代,その他,施錠した,千葉市中央区富士見２丁目,35.610279,140.118088
24,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-08-28,16,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
25,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-10-10,20,道路上,その他,20歳代,その他,施錠した,千葉市中央区富士見２丁目,35.610279,140.118088
26,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-11-09,20,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
27,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-10-02,18,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず,千葉市中央区弁天１丁目,35.615829,140.112122
28,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022-01-25,12,その他,その他,30歳代,その他,施錠した,千葉市中央区本千葉町,35.606339,140.119568
29,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022-04-21,16,その他,その他,50歳代,その他,施錠せず,千葉市中央区本千葉町,35.606339,140.119568
30,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022-05-10,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず,千葉市中央区本千葉町,35.606339,140.119568
31,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022-08-17,06,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず,千葉市中央区本千葉町,35.606339,140.119568
32,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022-09-22,18,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず,千葉市中央区本千葉町,35.606339,140.119568
33,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022-03-17,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した,千葉市中央区椿森１丁目,35.617996,140.120102
34,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022-07-25,08,道路上,その他,40歳代,その他,施錠した,千葉市中央区椿森１丁目,35.617996,140.120102
35,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022-10-08,17,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区椿森１丁目,35.617996,140.120102
36,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022-10-25,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した,千葉市中央区椿森１丁目,35.617996,140.120102
37,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森３丁目,2022-10-13,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず,千葉市中央区椿森３丁目,35.622299,140.118454
38,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森５丁目,2022-09-24,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した,千葉市中央区椿森５丁目,35.618603,140.123123
39,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,東千葉３丁目,2022-10-10,18,道路上,その他,30歳代,その他,施錠せず,千葉市中央区東千葉３丁目,35.627216,140.125305
40,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天３丁目,2021-12-30,12,一戸建住宅,駐車（輪）場,30歳代,その他,施錠した,千葉市中央区弁天３丁目,35.619083,140.114838
41,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天３丁目,2022-10-31,08,一戸建住宅,その他,20歳代,その他,施錠せず,千葉市中央区弁天３丁目,35.619083,140.114838
42,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022-03-31,22,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず,千葉市中央区弁天４丁目,35.622456,140.114182
43,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022-05-07,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した,千葉市中央区弁天４丁目,35.622456,140.114182
44,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022-07-08,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず,千葉市中央区弁天４丁目,35.622456,140.114182
45,窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022-12-06,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず,千葉市中央区弁天４丁目,35.622456,140.114182
46,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-05-08,22,その他,駐車（輪）場,40歳代,その他,施錠せず,千葉市中央区青葉町,35.59724,140.139847
47,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-09-27,05,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず,千葉市中央区青葉町,35.59724,140.139847
48,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-09-27,23,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず,千葉市中央区青葉町,35.59724,140.139847
49,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-11-07,20,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠した,千葉市中央区青葉町,35.59724,140.139847
50,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-11-25,12,その他,その他,20歳代,大学生,施錠せず,千葉市中央区青葉町,35.59724,140.139847
51,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022-12-16,09,一戸建住宅,駐車（輪）場,70歳以上,その他,施錠した,千葉市中央区青葉町,35.59724,140.139847
52,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,稲荷町１丁目,2022-10-30,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠せず,千葉市中央区稲荷町１丁目,35.590523,140.124863
53,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,稲荷町２丁目,2022-06-25,18,一戸建住宅,駐車（輪）場,40歳代,その他,施錠せず,千葉市中央区稲荷町２丁目,35.58881,140.125214
54,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2022-03-16,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した,千葉市中央区末広３丁目,35.593266,140.127426
55,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2022-06-05,17,４階建て以上共同住宅,駐車（輪）場,10歳未満,小学生,施錠した,千葉市中央区末広３丁目,35.593266,140.127426
56,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2022-07-30,01,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した,千葉市中央区末広３丁目,35.593266,140.127426
57,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広４丁目,2022-08-29,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した,千葉市中央区末広４丁目,35.590633,140.128845
58,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広４丁目,2022-10-31,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した,千葉市中央区末広４丁目,35.590633,140.128845
59,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-01-31,13,その他,駐車（輪）場,10歳代,高校生,施錠せず,千葉市中央区千葉寺町,35.592632,140.134094
60,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-04-02,08,道路上,その他,10歳代,その他,施錠せず,千葉市中央区千葉寺町,35.592632,140.134094
61,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-09-16,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠した,千葉市中央区千葉寺町,35.592632,140.134094
62,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-10-10,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,50歳代,その他,施錠した,千葉市中央区千葉寺町,35.592632,140.134094
63,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-10-30,08,その他,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区千葉寺町,35.592632,140.134094
64,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-11-17,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区千葉寺町,35.592632,140.134094
65,窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-12-19,00,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区千葉寺町,35.592632,140.134094
66,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-04-12,13,道路上,その他,20歳代,その他,施錠せず,千葉市中央区新千葉１丁目,35.612926,140.113693
67,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-04-26,17,道路上,その他,20歳代,その他,施錠せず,千葉市中央区新千葉１丁目,35.612926,140.113693
68,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-06-19,17,その他,駐車（輪）場,20歳代,大学生,施錠せず,千葉市中央区新千葉１丁目,35.612926,140.113693
69,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-08-19,07,その他,駐車（輪）場,20歳代,大学生,施錠した,千葉市中央区新千葉１丁目,35.612926,140.113693
70,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-10-15,19,道路上,その他,10歳代,高校生,施錠せず,千葉市中央区新千葉１丁目,35.612926,140.113693
71,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-10-18,12,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず,千葉市中央区新千葉１丁目,35.612926,140.113693
72,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-10-23,17,４階建て以上共同住宅,その他,20歳代,大学生,施錠せず,千葉市中央区新千葉１丁目,35.612926,140.113693
73,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022-10-29,09,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した,千葉市中央区新千葉１丁目,35.612926,140.113693
74,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-05-21,09,道路上,その他,10歳代,大学生,施錠した,千葉市中央区新町,35.610493,140.113434
75,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-08-03,19,その他,駐車（輪）場,10歳代,大学生,施錠せず,千葉市中央区新町,35.610493,140.113434
76,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-08-23,10,道路上,その他,10歳代,高校生,施錠した,千葉市中央区新町,35.610493,140.113434
77,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-08-26,13,その他,駐車（輪）場,20歳代,その他,施錠した,千葉市中央区新町,35.610493,140.113434
78,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-09-04,18,道路上,その他,20歳代,大学生,施錠せず,千葉市中央区新町,35.610493,140.113434
79,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-10-01,18,その他,駐車（輪）場,10歳代,大学生,施錠した,千葉市中央区新町,35.610493,140.113434
80,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-11-07,19,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区新町,35.610493,140.113434
81,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-11-21,21,４階建て以上共同住宅,その他,10歳代,高校生,施錠せず,千葉市中央区新町,35.610493,140.113434
82,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022-12-01,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した,千葉市中央区新町,35.610493,140.113434
83,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022-12-16,15,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した,千葉市中央区千葉寺町,35.592632,140.134094
84,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-01-30,02,道路上,その他,50歳代,その他,施錠した,千葉市中央区富士見１丁目,35.612537,140.117218
85,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-02-25,19,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず,千葉市中央区富士見１丁目,35.612537,140.117218
86,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-04-17,08,道路上,その他,20歳代,その他,施錠せず,千葉市中央区富士見１丁目,35.612537,140.117218
87,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-05-23,07,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず,千葉市中央区富士見１丁目,35.612537,140.117218
88,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-06-16,12,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず,千葉市中央区富士見１丁目,35.612537,140.117218
89,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-07-18,18,道路上,その他,20歳代,その他,施錠せず,千葉市中央区富士見１丁目,35.612537,140.117218
90,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-08-18,06,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず,千葉市中央区富士見１丁目,35.612537,140.117218
91,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022-10-30,16,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した,千葉市中央区富士見１丁目,35.612537,140.117218
92,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021-12-25,19,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
93,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-03-05,20,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した,千葉市中央区富士見２丁目,35.610279,140.118088
94,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-03-19,16,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
95,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-05-04,20,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
96,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-06-27,09,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
97,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-07-13,21,道路上,その他,20歳代,大学生,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
98,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-07-21,17,その他,駐車（輪）場,20歳代,その他,施錠した,千葉市中央区富士見２丁目,35.610279,140.118088
99,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-09-21,21,道路上,その他,20歳代,大学生,施錠した,千葉市中央区富士見２丁目,35.610279,140.118088
100,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-10-21,21,道路上,その他,10歳代,中学生,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
101,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-10-26,22,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
102,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-11-06,21,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
103,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-11-11,06,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
104,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-12-01,17,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した,千葉市中央区富士見２丁目,35.610279,140.118088
105,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-12-10,18,道路上,その他,20歳代,その他,施錠した,千葉市中央区富士見２丁目,35.610279,140.118088
106,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-12-13,17,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した,千葉市中央区富士見２丁目,35.610279,140.118088
107,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-12-19,12,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
108,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022-12-23,15,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず,千葉市中央区富士見２丁目,35.610279,140.118088
109,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-01-06,12,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず,千葉市中央区弁天１丁目,35.615829,140.112122
110,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-02-17,18,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した,千葉市中央区弁天１丁目,35.615829,140.112122
111,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-04-09,16,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず,千葉市中央区弁天１丁目,35.615829,140.112122
112,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-04-10,16,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した,千葉市中央区弁天１丁目,35.615829,140.112122
113,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-06-08,06,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した,千葉市中央区弁天１丁目,35.615829,140.112122
114,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-06-08,18,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠せず,千葉市中央区弁天１丁目,35.615829,140.112122
115,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-06-14,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した,千葉市中央区弁天１丁目,35.615829,140.112122
116,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-06-16,06,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず,千葉市中央区弁天１丁目,35.615829,140.112122
117,窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022-07-31,09,その他,その他,10歳代,大学生,施錠せず,千葉市中央区弁天１丁目,35.615829,140.112122
