罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,神明町,2023-06-29,20,一戸建住宅,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,神明町,2023-12-12,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,神明町,不明,不明,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,問屋町,2023-10-07,14,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,問屋町,2023-10-29,20,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-03-13,09,道路上,その他,10歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-05-02,19,その他,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-05-31,21,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-06-04,16,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-07-31,08,道路上,その他,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-08-10,18,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-08-20,16,その他,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-08-21,12,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-08-21,17,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-09-29,01,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-10-05,14,駐車（輪）場,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-11-11,19,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-11-11,19,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-11-14,17,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-12-13,14,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,本千葉町,2023-02-22,19,道路上,その他,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,本千葉町,2023-06-17,12,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,本千葉町,2023-06-24,09,駐車（輪）場,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,本千葉町,2023-07-14,08,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,本千葉町,2023-09-16,09,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,本千葉町,2023-10-20,09,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,港町,2023-07-29,08,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森１丁目,2022-11-14,06,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森１丁目,2022-12-24,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森１丁目,2023-03-10,10,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森１丁目,2023-10-14,00,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森１丁目,2023-10-30,06,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森１丁目,2023-11-21,12,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森１丁目,2023-12-21,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森１丁目,2023-12-23,13,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森２丁目,2023-04-14,23,一戸建住宅,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森２丁目,2023-06-02,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森３丁目,2023-07-18,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森３丁目,2023-07-18,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森３丁目,2023-08-25,10,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森３丁目,2023-09-25,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森３丁目,2023-09-25,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,椿森５丁目,2023-06-01,09,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,東千葉２丁目,2023-03-23,17,一戸建住宅,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,東千葉２丁目,2023-08-23,00,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,東千葉２丁目,2023-10-12,18,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,東千葉２丁目,2023-10-13,20,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,東千葉２丁目,2023-10-23,06,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,東千葉２丁目,2023-11-18,18,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,東千葉３丁目,2023-07-23,14,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天２丁目,2023-09-24,08,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天３丁目,2023-05-29,18,その他の住宅（３階建て以下共同住宅等）,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天３丁目,2023-06-10,21,その他,その他,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天３丁目,2023-07-06,06,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天３丁目,2023-07-09,15,その他,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天３丁目,2023-07-30,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天３丁目,2023-10-01,08,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天３丁目,2023-10-20,00,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天４丁目,2023-01-08,14,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天４丁目,2023-02-07,19,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天４丁目,2023-07-25,17,その他,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天４丁目,2023-07-29,20,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,弁天４丁目,2023-11-10,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,青葉町,2023-03-01,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,青葉町,2023-10-12,01,４階建て以上共同住宅,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,稲荷町１丁目,2023-05-17,21,一戸建住宅,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,稲荷町１丁目,2023-10-22,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,稲荷町１丁目,2023-12-15,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,稲荷町２丁目,2023-02-27,19,道路上,その他,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,稲荷町２丁目,2023-03-29,15,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,稲荷町２丁目,2023-05-06,10,一戸建住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,稲荷町２丁目,2023-06-23,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,稲荷町３丁目,2023-10-25,18,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,末広３丁目,2023-03-13,22,その他の住宅（３階建て以下共同住宅等）,その他,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,末広３丁目,2023-04-11,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,末広３丁目,2023-10-18,06,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,末広４丁目,2023-10-07,00,一戸建住宅,その他,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,末広５丁目,2023-11-09,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-02-08,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-02-25,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-03-13,05,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-04-02,08,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-04-09,14,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-05-02,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-06-08,20,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-07-02,20,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-08-23,18,その他の住宅（３階建て以下共同住宅等）,その他,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-08-24,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-10-07,15,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,2023-12-03,10,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,不明,不明,その他,その他,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,春日２丁目,2023-05-20,22,道路上,その他,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,2023-01-17,05,駐車（輪）場,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,2023-03-03,17,道路上,その他,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,2023-07-03,17,道路上,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,2023-07-19,08,その他,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,2023-07-27,22,道路上,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,2023-08-16,08,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,2023-09-10,11,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,2023-10-29,21,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,2023-11-03,02,その他,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,2023-11-14,12,道路上,その他,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉１丁目,不明,不明,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新千葉３丁目,2023-09-13,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,2023-02-02,18,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,2023-06-14,05,駐車（輪）場,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,2023-07-13,11,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,2023-07-13,12,その他,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,2023-08-05,11,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,2023-08-26,17,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,2023-08-26,18,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,2023-10-18,15,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,新町,2023-12-06,17,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2022-12-27,22,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-01-04,17,その他,その他,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-01-11,16,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-02-01,16,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-02-18,18,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-02-24,17,その他,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-03-28,17,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-05-14,23,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-05-27,12,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-06-06,08,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-06-19,21,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-06-24,09,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-07-11,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-08-16,16,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-09-10,08,道路上,その他,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-09-10,08,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-10-18,06,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-10-27,06,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-11-23,13,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見１丁目,2023-12-29,23,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見２丁目,2022-11-30,14,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見２丁目,2022-12-31,00,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-02-22,23,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-02-23,15,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前,121011,千葉県,千葉市中央区,富士見２丁目,2023-03-11,18,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
